iter	Passed	Remaining
565	2055	1575
566	2056	1570
567	2058	1565
568	2060	1560
569	2062	1555
570	2064	1551
571	2066	1546
572	2068	1541
573	2070	1536
574	2074	1533
575	2076	1528
576	2078	1523
577	2080	1519
578	2082	1514
579	2084	1509
580	2086	1504
581	2088	1499
582	2089	1494
583	2091	1490
584	2095	1486
585	2097	1481
586	2099	1477
587	2101	1472
588	2102	1467
589	2104	1462
590	2106	1457
591	2109	1453
592	2111	1448
593	2112	1444
594	2114	1439
595	2115	1434
596	2117	1429
597	2119	1424
598	2120	1419
599	2123	1415
600	2125	1410
601	2126	1406
602	2128	1401
603	2130	1396
604	2131	1391
605	2133	1387
606	2135	1382
607	2136	1377
608	2139	1373
609	2141	1369
610	2143	1364
611	2144	1359
612	2146	1355
613	2147	1350
614	2149	1345
615	2151	1341
616	2154	1337
617	2156	1333
618	2158	1328
619	2160	1324
620	2162	1319
621	2166	1316
622	2169	1313
623	2171	1308
624	2173	1304
625	2175	1299
626	2176	1294
627	2178	1290
628	2180	1285
629	2182	1281
630	2184	1277
631	2186	1273
632	2188	1268
633	2189	1264
634	2191	1259
635	2192	1255
636	2194	1250
637	2197	1246
638	2199	1242
639	2201	1238
640	2203	1234
641	2205	1229
642	2207	1225
643	2208	1221
644	2210	1216
645	2213	1212
646	2214	1208
647	2216	1204
648	2218	1199
649	2219	1195
650	2221	1190
651	2222	1186
652	2224	1182
653	2227	1178
654	2229	1174
655	2231	1169
656	2232	1165
657	2234	1161
658	2235	1156
659	2237	1152
660	2239	1148
661	2241	1144
662	2243	1140
663	2245	1136
664	2247	1132
665	2249	1128
666	2251	1124
667	2253	1120
668	2255	1115
669	2257	1112
670	2259	1108
671	2261	1103
672	2263	1099
673	2265	1095
674	2267	1091
675	2269	1087
676	2272	1084
677	2277	1081
678	2279	1077
679	2281	1073
680	2282	1069
681	2284	1065
682	2287	1061
683	2289	1057
684	2290	1053
685	2292	1049
686	2294	1045
687	2295	1041
688	2297	1036
689	2298	1032
690	2300	1028
691	2303	1025
692	2304	1021
693	2306	1016
694	2308	1012
695	2309	1008
696	2311	1004
697	2313	1000
698	2314	996
699	2317	993
700	2319	989
701	2321	985
702	2322	981
703	2324	977
704	2325	973
705	2327	969
706	2329	965
707	2331	961
708	2333	957
709	2336	954
710	2337	950
711	2340	946
712	2341	942
713	2343	938
714	2345	934
715	2347	931
716	2349	927
717	2351	923
718	2352	919
719	2354	915
720	2356	911
721	2357	907
722	2359	903
723	2361	900
724	2364	896
725	2365	892
726	2367	889
727	2369	885
728	2370	881
729	2372	877
730	2375	874
731	2377	870
732	2379	866
733	2380	862
734	2382	858
735	2383	855
736	2385	851
737	2387	847
738	2389	844
739	2391	840
740	2393	836
741	2394	832
742	2396	828
743	2397	825
744	2399	821
745	2401	817
746	2403	814
747	2405	810
748	2407	806
749	2408	802
750	2410	799
751	2412	795
752	2413	791
753	2415	788
754	2417	784
755	2420	781
756	2421	777
757	2423	773
758	2425	770
759	2427	766
760	2428	762
761	2430	759
762	2433	755
763	2435	752
764	2436	748
765	2438	744
766	2440	741
767	2441	737
768	2443	733
769	2444	730
770	2446	726
771	2449	723
772	2451	719
773	2452	716
774	2454	712
775	2455	708
776	2457	705
777	2459	701
778	2460	698
779	2463	694
780	2465	691
781	2466	687
782	2471	684
783	2472	681
784	2474	677
785	2475	674
786	2478	670
787	2480	667
788	2482	663
789	2483	660
790	2485	656
791	2486	653
792	2488	649
793	2490	646
794	2492	642
795	2494	639
796	2496	635
797	2498	632
798	2499	628
799	2501	625
800	2503	621
801	2504	618
802	2506	614
803	2509	611
804	2511	608
805	2513	604
806	2515	601
807	2516	598
808	2518	594
809	2519	591
810	2522	587
811	2524	584
812	2526	581
813	2528	577
814	2529	574
815	2531	570
816	2533	567
817	2534	563
818	2536	560
819	2539	557
820	2540	553
821	2542	550
822	2544	547
823	2545	543
824	2547	540
825	2548	536
826	2550	533
827	2553	530
828	2556	527
829	2557	523
830	2559	520
831	2560	517
832	2562	513
833	2564	510
834	2565	507
835	2568	503
836	2570	500
837	2571	497
838	2573	493
839	2575	490
840	2576	487
841	2578	483
842	2579	480
843	2582	477
844	2584	474
845	2585	470
846	2587	467
847	2589	464
848	2590	460
849	2592	457
850	2593	454
851	2595	450
852	2598	447
853	2600	444
854	2601	441
855	2603	437
856	2604	434
857	2606	431
858	2608	428
859	2609	424
860	2612	421
861	2614	418
862	2616	415
863	2618	412
864	2620	408
865	2622	405
866	2623	402
867	2626	399
868	2628	396
869	2630	393
870	2631	389
871	2633	386
872	2635	383
873	2636	380
874	2638	376
875	2643	374
876	2645	371
877	2647	367
878	2649	364
879	2650	361
880	2652	358
881	2653	355
882	2657	352
883	2659	348
884	2660	345
885	2662	342
886	2663	339
887	2665	336
888	2667	333
889	2668	329
890	2671	326
891	2673	323
892	2675	320
893	2677	317
894	2678	314
895	2680	311
896	2681	307
897	2683	304
898	2686	301
899	2688	298
900	2689	295
901	2691	292
902	2692	289
903	2694	286
904	2696	283
905	2697	279
906	2699	276
907	2702	273
908	2704	270
909	2705	267
910	2707	264
911	2709	261
912	2710	258
913	2712	255
